0.165975, 0.085527, 0.060338, 0.156057, 0.046607, 0.028357
0.842068, 0.474750, 0.340233, 0.596622, 0.250371, 0.191207
0.232123, 0.305228, 0.433647, 0.084560, 0.159115, 0.273609
0.176830, 0.189064, 0.109815, 0.071542, 0.120341, 0.017958
0.384735, 0.391823, 0.592335, 0.215794, 0.187907, 0.395752
0.382778, 0.761892, 0.685293, 0.170992, 0.456721, 0.341847
0.678773, 0.214132, 0.070387, 0.750854, 0.198040, 0.010002
0.113943, 0.151827, 0.347193, 0.036883, 0.070371, 0.390474
0.624393, 0.175400, 0.131003, 0.626949, 0.065170, 0.069395
0.131568, 0.087664, 0.133056, 0.052159, 0.017515, 0.087354
0.501543, 0.570615, 0.174462, 0.381081, 0.496019, 0.033243
0.881652, 0.453949, 0.115177, 0.680703, 0.376924, 0.008961
0.048881, 0.061529, 0.151377, 0.011521, 0.023684, 0.244125
0.117679, 0.201320, 0.087348, 0.065748, 0.271698, 0.029826
0.340684, 0.089873, 0.059328, 0.418974, 0.024541, 0.016858
0.950868, 0.619969, 0.140365, 0.760637, 0.570538, 0.014651
0.437796, 0.157797, 0.228794, 0.524148, 0.062901, 0.275100
0.092307, 0.236440, 0.340029, 0.011846, 0.192095, 0.291791
0.818355, 0.787171, 0.704741, 0.700672, 0.666003, 0.623505
0.551343, 0.531434, 0.498069, 0.531157, 0.513492, 0.483724
0.330658, 0.314915, 0.296586, 0.336968, 0.324030, 0.301550
0.169328, 0.154198, 0.144471, 0.143897, 0.135653, 0.121954
0.078151, 0.068607, 0.065403, 0.045159, 0.043760, 0.041040
0.038608, 0.031554, 0.031248, 0.009644, 0.009644, 0.009644
